uuid,merged_human_frames
0074f73a-d30e-44dd-9400-2647d1831068,"['economic', 'health and safety', 'none', 'quality of life']"
00a081b7-e1e5-4232-9b12-cd6a61a2f8c2,"['health and safety', 'capacity and resources', 'none', 'quality of life']"
00ba838f-e9fd-4b52-9004-e007cd5c79db,"['none', 'morality']"
01ef38ef-868a-41d1-89b7-4c6d2cfa4ecc,['none']
02617f60-612f-45e6-aed1-d37273f9b188,"['health and safety', 'capacity and resources', 'none', 'quality of life']"
0294cf33-eab1-43e3-b202-a4371b63ea0c,"['cultural identity', 'none']"
031a70fb-6456-4dd2-b966-196411352b7d,"['crime and punishment', 'security and defense', 'none']"
03ed949c-5225-479e-a0af-77b7ad1c3e53,['political']
043e93da-5691-443b-ac8e-3537f43d37c6,"['health and safety', 'capacity and resources', 'none']"
04420fb0-8479-4b4d-b014-27408a4b0bd2,['none']
04ad1d76-8550-4634-9d10-e710ac4a2ca6,['none']
04e9dcb6-9e87-4199-bbf2-6cd8e2bedf35,"['security and defense', 'public opinion', 'none']"
04ed88e0-17f6-4bfd-8fea-c37d02b06cf1,"['economic', 'quality of life']"
05151fc8-458a-4ff8-bf54-2c7541f544bd,"['cultural identity', 'public opinion']"
05b0ad03-dec7-4a9d-9a0a-5907d80e5d10,"['crime and punishment', 'health and safety']"
05d345cc-f034-4b2c-9b21-461b3b6ec1bb,"['health and safety', 'none']"
061025bd-8bd6-40d1-be95-c83a5db46ccd,"['security and defense', 'health and safety']"
066ea44a-af30-4b5e-9b9b-5f3c2abbfd19,"['none', 'quality of life']"
07b3ba99-a24a-4bde-941c-edad1a0177b7,"['cultural identity', 'legality_constitutionality_jurisprudence', 'fairness and equality', 'none', 'capacity and resources', 'public opinion', 'crime and punishment', 'morality']"
07ea3129-14c4-4918-8848-655ace57f517,"['cultural identity', 'morality', 'fairness and equality']"
07f21bb9-00b5-4dd1-92bc-4e27ca74e4b3,"['cultural identity', 'capacity and resources', 'none']"
